Fecha,Temp_Media_C,Temp_Maxima_C,Temp_Minima_C,Humedad_Media_Pct,Precip_Total_mm,Viento_Maximo_kmh,Viento_Direccion_Grados,Presion_Media_hPa,Irrad_Solar_MJm2
2009-07-02,27.7,33.0,25.1,48.0,0.0,29.5,78.0,1015.5,25.82
2009-07-03,27.5,31.4,24.2,53.0,0.0,23.8,197.0,1013.8,27.42
2009-07-04,27.6,31.4,24.5,53.0,0.0,23.8,203.0,1011.1,28.72
2009-07-05,27.3,31.0,24.2,56.0,0.0,33.1,197.0,1010.5,27.82
2009-07-06,26.3,29.3,24.2,57.0,0.0,26.6,225.0,1011.3,25.92
2009-07-07,24.4,26.7,23.1,59.0,0.0,22.0,127.0,1012.9,15.02
2009-07-08,23.1,25.5,21.9,57.0,0.0,20.2,138.0,1016.7,11.02
2009-07-09,21.4,23.3,18.9,71.0,45.2,20.5,1.0,1018.0,4.32
2009-07-10,22.5,25.3,21.0,64.0,0.0,23.4,105.0,1018.0,12.72
2009-07-11,23.1,25.1,21.4,66.0,0.0,15.8,190.0,1017.1,8.72
2009-07-12,26.0,29.5,22.5,68.0,0.0,32.4,185.0,1014.3,24.52
2009-07-13,25.8,28.5,22.9,71.0,0.0,23.4,106.0,1012.8,28.42
2009-07-14,25.5,27.9,23.6,70.0,0.0,33.1,82.0,1011.1,23.62
2009-07-15,25.4,28.0,23.5,69.0,0.0,23.8,175.0,1016.9,25.72
2009-07-16,24.8,27.9,22.7,73.0,0.0,20.2,127.0,1018.0,22.32
2009-07-17,24.8,27.5,21.6,65.0,0.0,27.4,150.0,1015.7,18.12
2009-07-18,23.2,26.6,19.3,35.0,0.0,32.0,216.0,1020.2,29.62
2009-07-19,23.8,27.4,19.9,56.0,0.0,31.7,215.0,1020.8,29.02
2009-07-20,25.5,29.4,22.0,59.0,0.0,32.4,236.0,1019.7,27.92
2009-07-21,25.6,29.1,22.5,63.0,0.0,25.6,153.0,1016.6,26.72
2009-07-22,26.3,30.6,23.0,70.0,0.2,34.9,311.0,1011.3,22.72
2009-07-23,31.0,37.8,25.1,46.0,0.0,41.0,272.0,1009.5,26.72
2009-07-24,28.6,32.3,24.6,49.0,0.0,34.6,75.0,1015.6,27.82
2009-07-25,25.3,28.5,23.6,60.0,0.0,32.0,168.0,1021.8,23.42
2009-07-26,25.9,29.6,22.9,63.0,0.0,33.5,203.0,1019.0,25.92
2009-07-27,26.0,29.7,23.6,65.0,0.0,34.9,90.0,1015.2,24.12
2009-07-28,25.8,28.5,23.6,58.0,0.0,24.5,170.0,1017.7,25.72
2009-07-29,26.7,30.2,22.8,64.0,0.0,32.0,240.0,1016.4,26.62
2009-07-30,27.3,31.5,24.5,65.0,0.0,28.1,203.0,1019.4,26.32
2009-07-31,26.9,30.1,24.1,60.0,0.0,37.1,209.0,1017.8,26.12
2009-08-01,26.5,29.7,24.0,65.0,0.0,29.9,190.0,1013.0,19.72
2009-08-02,24.8,29.2,21.7,60.0,0.0,33.1,184.0,1014.5,24.32
2009-08-03,24.2,26.7,22.5,54.0,0.0,24.8,117.0,1016.0,21.32
2009-08-04,25.5,29.2,21.7,59.0,0.0,34.9,219.0,1016.1,24.42
2009-08-05,27.6,30.9,24.7,61.0,0.0,31.7,219.0,1015.4,25.72
2009-08-06,27.5,31.9,24.4,57.0,0.0,29.9,230.0,1014.8,25.52
2009-08-07,27.0,30.2,24.5,63.0,0.0,26.6,195.0,1015.4,22.32
2009-08-08,27.1,31.0,23.7,57.0,0.0,33.1,175.0,1014.8,23.62
2009-08-09,26.2,29.0,24.1,58.0,0.0,29.5,86.0,1014.0,19.42
2009-08-10,25.1,29.2,23.4,64.0,0.0,28.8,191.0,1017.7,17.62
2009-08-11,26.2,29.7,23.1,57.0,0.0,26.3,214.0,1018.8,24.52
2009-08-12,26.9,30.4,24.1,53.0,0.0,25.2,173.0,1017.4,23.72
2009-08-13,28.1,31.7,25.3,46.0,0.0,29.9,211.0,1014.9,24.62
2009-08-14,29.1,32.3,25.1,41.0,0.0,22.0,193.0,1014.3,24.42
2009-08-15,27.5,31.1,24.5,57.0,0.0,21.2,135.0,1016.3,25.22
2009-08-16,26.7,29.9,23.8,66.0,0.0,22.0,145.0,1017.3,24.62
2009-08-17,29.5,34.4,24.5,47.0,0.0,30.6,236.0,1015.3,24.32
2009-08-18,29.9,34.7,25.6,38.0,0.0,33.1,222.0,1016.5,23.32
2009-08-19,30.6,36.0,25.2,32.0,0.0,19.8,161.0,1017.5,24.32
2009-08-20,28.9,32.9,25.3,46.0,0.0,22.7,150.0,1018.6,23.92
2009-08-21,27.4,29.8,25.1,63.0,0.0,23.4,147.0,1019.1,23.32
2009-08-22,27.1,29.7,24.5,65.0,0.0,29.2,188.0,1017.9,22.12
2009-08-23,27.7,31.1,24.8,60.0,0.0,32.0,201.0,1014.1,23.12
2009-08-24,27.9,31.7,25.0,65.0,0.0,25.2,184.0,1009.8,22.62
2009-08-25,26.7,29.6,24.9,69.0,0.2,32.0,80.0,1009.9,15.62
2009-08-26,26.4,29.3,24.5,61.0,0.0,24.5,159.0,1014.5,19.82
